,Address,Price,Square Feet,Latitude,Longitude
63,"On #3925, Cedar City, UT 84721","$349,900",,37.77242,-113.1292709
64,"3144 Green Acre Dr, West Jordan, UT 84088","$444,900","1,720 sqft",40.5994925,-111.9660151
65,"1263 W Lime Canyon Rd, Midway, UT 84049","$1,299,999","4,802 sqft",40.5304983,-111.4987142
66,"1565 Ponderosa Ln, West Jordan, UT 84088","$370,000","1,684 sqft",40.59060789999999,-111.9355975
67,"1257 W Matthews Way, Riverton, UT 84065","$579,000","2,536 sqft",40.535029,-111.928295
68,"1188 W 2600 N, Clinton, UT 84015","$439,000","2,760 sqft",41.1516605,-112.0488014
69,"321 W 2540th St N, Lehi, UT 84043","$525,000","2,560 sqft",40.4196684,-111.8548324
70,"225 N Valley View Dr UNIT 81, Saint George, UT 84770","$349,900","1,361 sqft",37.1115987,-113.6120926
71,"253 E Hillside Ln, Brookside, UT 84782","$398,500","1,212 sqft",39.3209801,-111.0937311
72,"55 E 700 S APT 17, Saint George, UT 84770","$330,000","1,443 sqft",37.0965823,-113.5817311
73,"3319 N Highway 162, Eden, UT 84310","$715,000","2,157 sqft",41.3185495,-111.8540872
74,"170 N 100 E, Brigham City, UT 84302","$294,900","1,136 sqft",41.5144886,-112.0137532
75,"1995 Calliandra Cir, Saint George, UT 84790","$457,000","1,770 sqft",37.0752701,-113.5630617
76,"944 W 150 S, Clearfield, UT 84015","$490,000","3,020 sqft",41.1119726,-112.0438877
77,"10510 S Forty Dam Acres Rd, Heber City, UT 84032","$188,000",,40.1145648,-111.0353003
78,"5145 N 3850 W, Cedar City, UT 84721","$47,500",,37.771394,-113.127993
79,"366 E 1300 N, Mapleton, UT 84664","$890,000","4,695 sqft",40.1420585,-111.5745446
80,"1166 Dallas St, Syracuse, UT 84075","$388,000","2,058 sqft",41.0962869,-112.0494355
81,"380 S 400th St E, American Fork, UT 84003","$490,000","2,474 sqft",40.3693045,-111.7883187
82,"1247 E Bryan Ave, Salt Lake City, UT 84105","$550,000","1,488 sqft",40.7358049,-111.8550617
83,"3896 S 640 W, Nibley, UT 84321","$465,000","2,496 sqft",41.6621318,-111.8453305
84,"380 E 1500 S, Bountiful, UT 84010","$509,000","2,629 sqft",40.8745816,-111.8728348
85,"2598 S Hawk Dr, Spanish Fork, UT 84660","$1,100,000","4,476 sqft",40.0763131,-111.5989288
86,"202 Rideout Hall Ln, Draper, UT 84020","$374,900","1,124 sqft",40.5321219,-111.8848651
87,"482 W 800 S, Tremonton, UT 84337","$350,000","2,150 sqft",41.7016178,-112.1712681
88,"4436 W 2550 N, Lehi, UT 84043","$495,000","2,486 sqft",40.4190302,-111.9191095
89,"13861 April Moon Cv, Herriman, UT 84096","$625,000","3,198 sqft",40.4992539,-112.032187
90,"506 S 100 W, Logan, UT 84321","$299,900","1,970 sqft",41.7220344,-111.8374588
91,"3040 E Lavatera Dr, Saint George, UT 84790","$540,000","1,979 sqft",37.004192,-113.521235
92,"1619 W 9620 S, South Jordan, UT 84095","$525,000","1,521 sqft",40.5762359,-111.9368554
93,"4772 Taylors View Ln #27, Salt Lake City, UT 84123","$935,000","3,256 sqft",40.7607793,-111.8910474
94,"2029 W Tollgate Canyon Rd #PI-59, Coalville, UT 84017","$950,000","1,800 sqft",40.8036311,-111.5114535
95,"8372 N Iron Horse Dr, Lake Pt, UT 84074","$649,900","3,780 sqft",40.6812166,-112.2518607
96,"88 S 980 E, American Fork, UT 84003","$479,900","2,195 sqft",40.3748,-111.77207
97,"3311 Cove Cir, Layton, UT 84040","$1,275,000","7,641 sqft",41.0636809,-111.9032965
98,"1040 W Kokopelli Way, Ivins, UT 84738","$1,100,000","2,763 sqft",37.1964402,-113.7034775
99,"465 S High Bench Rd, Alpine, UT 84004","$1,224,900","4,204 sqft",40.4469092,-111.7609766
100,"855 W Chickadee Ct, Washington, UT 84780","$499,000","1,799 sqft",37.14333999999999,-113.524325
