Unnamed: 0,Address,Price,Square Feet,Latitude,Longitude,price_per_sqft
58,"8261 N 9550th St W, Lehi, UT 84043",799000.0,1400.0,40.38169860000001,-111.8868314,570.7142857142857
59,"1451 Windy Ridge Dr #1148, Spanish Fork, UT 84660",409990.0,2187.0,40.0922629,-111.5969968,187.466849565615
61,"507 N 1100th St E, American Fork, UT 84003",825000.0,5188.0,40.3877768,-111.7695309,159.02081727062452
62,"62 W Wrangler Ave S, Saratoga Springs, UT 84045",599900.0,3625.0,40.3189689,-111.9015499,165.4896551724138
64,"3144 Green Acre Dr, West Jordan, UT 84088",444900.0,1720.0,40.5994925,-111.9660151,258.66279069767444
65,"1263 W Lime Canyon Rd, Midway, UT 84049",1299999.0,4802.0,40.5304983,-111.4987142,270.72032486463974
66,"1565 Ponderosa Ln, West Jordan, UT 84088",370000.0,1684.0,40.59060789999999,-111.9355975,219.7149643705463
67,"1257 W Matthews Way, Riverton, UT 84065",579000.0,2536.0,40.535029,-111.928295,228.3123028391167
68,"1188 W 2600 N, Clinton, UT 84015",439000.0,2760.0,41.1516605,-112.0488014,159.05797101449275
69,"321 W 2540th St N, Lehi, UT 84043",525000.0,2560.0,40.4196684,-111.8548324,205.078125
70,"225 N Valley View Dr UNIT 81, Saint George, UT 84770",349900.0,1361.0,37.1115987,-113.6120926,257.0903747244673
71,"253 E Hillside Ln, Brookside, UT 84782",398500.0,1212.0,39.3209801,-111.0937311,328.7953795379538
72,"55 E 700 S APT 17, Saint George, UT 84770",330000.0,1443.0,37.0965823,-113.5817311,228.69022869022868
73,"3319 N Highway 162, Eden, UT 84310",715000.0,2157.0,41.3185495,-111.8540872,331.4789058878071
74,"170 N 100 E, Brigham City, UT 84302",294900.0,1136.0,41.5144886,-112.0137532,259.59507042253523
75,"1995 Calliandra Cir, Saint George, UT 84790",457000.0,1770.0,37.0752701,-113.5630617,258.19209039548025
76,"944 W 150 S, Clearfield, UT 84015",490000.0,3020.0,41.1119726,-112.0438877,162.25165562913907
79,"366 E 1300 N, Mapleton, UT 84664",890000.0,4695.0,40.1420585,-111.5745446,189.56336528221513
80,"1166 Dallas St, Syracuse, UT 84075",388000.0,2058.0,41.0962869,-112.0494355,188.53255587949465
81,"380 S 400th St E, American Fork, UT 84003",490000.0,2474.0,40.3693045,-111.7883187,198.05982215036377
82,"1247 E Bryan Ave, Salt Lake City, UT 84105",550000.0,1488.0,40.7358049,-111.8550617,369.6236559139785
83,"3896 S 640 W, Nibley, UT 84321",465000.0,2496.0,41.6621318,-111.8453305,186.29807692307693
84,"380 E 1500 S, Bountiful, UT 84010",509000.0,2629.0,40.8745816,-111.8728348,193.60973754279195
85,"2598 S Hawk Dr, Spanish Fork, UT 84660",1100000.0,4476.0,40.0763131,-111.5989288,245.7551385165326
86,"202 Rideout Hall Ln, Draper, UT 84020",374900.0,1124.0,40.5321219,-111.8848651,333.5409252669039
87,"482 W 800 S, Tremonton, UT 84337",350000.0,2150.0,41.7016178,-112.1712681,162.7906976744186
88,"4436 W 2550 N, Lehi, UT 84043",495000.0,2486.0,40.4190302,-111.9191095,199.1150442477876
89,"13861 April Moon Cv, Herriman, UT 84096",625000.0,3198.0,40.4992539,-112.032187,195.43464665415885
90,"506 S 100 W, Logan, UT 84321",299900.0,1970.0,41.7220344,-111.8374588,152.23350253807106
91,"3040 E Lavatera Dr, Saint George, UT 84790",540000.0,1979.0,37.004192,-113.521235,272.86508337544217
92,"1619 W 9620 S, South Jordan, UT 84095",525000.0,1521.0,40.5762359,-111.9368554,345.1676528599605
93,"4772 Taylors View Ln #27, Salt Lake City, UT 84123",935000.0,3256.0,40.7607793,-111.8910474,287.1621621621622
94,"2029 W Tollgate Canyon Rd #PI-59, Coalville, UT 84017",950000.0,1800.0,40.8036311,-111.5114535,527.7777777777778
95,"8372 N Iron Horse Dr, Lake Pt, UT 84074",649900.0,3780.0,40.6812166,-112.2518607,171.93121693121694
96,"88 S 980 E, American Fork, UT 84003",479900.0,2195.0,40.3748,-111.77207,218.63325740318908
97,"3311 Cove Cir, Layton, UT 84040",1275000.0,7641.0,41.0636809,-111.9032965,166.8629760502552
98,"1040 W Kokopelli Way, Ivins, UT 84738",1100000.0,2763.0,37.1964402,-113.7034775,398.1179876945349
99,"465 S High Bench Rd, Alpine, UT 84004",1224900.0,4204.0,40.4469092,-111.7609766,291.36536631779256
100,"855 W Chickadee Ct, Washington, UT 84780",499000.0,1799.0,37.14333999999999,-113.524325,277.3763201778766
101,"3145 W Coronado Dr, Hurricane, UT 84737",487994.0,1389.0,37.1820432,-113.3606093,351.32757379409645
102,"261 N 400 E, Logan, UT 84321",379900.0,2152.0,41.73618949999999,-111.8248827,176.53345724907064
103,"210 S 100 E, Providence, UT 84332",469900.0,2065.0,41.7038573,-111.81518,227.5544794188862
104,"780 W 1125 N UNIT 50, Cedar City, UT 84721",95000.0,1500.0,37.6973394,-113.0748911,63.333333333333336
105,"565 N 550 E, American Fork, UT 84003",539900.0,2236.0,40.3884177,-111.7844961,241.45796064400716
106,"1062 N 2000 E, Saint George, UT 84770",665000.0,2080.0,37.1261923,-113.5420196,319.71153846153845
108,"2184 W Carey Ln, St George, UT 84770",950000.0,3376.0,37.1409947,-113.6302518,281.3981042654028
109,"1755 E 2370 S, Saint George, UT 84790",489000.0,1703.0,37.0681662,-113.5470651,287.14034057545507
110,"382 N 200 W, Pleasant Grove, UT 84062",579900.0,2874.0,40.3678357,-111.743882,201.77453027139876
111,"217 N 860 W, Spanish Fork, UT 84660",389000.0,1032.0,40.1125882,-111.6692166,376.93798449612405
112,"879 E 1510 N, Ogden, UT 84404",579000.0,2506.0,41.2849677,-111.9537163,231.04549082202715
113,"1407 E Logan Ave, Salt Lake City, UT 84105",825000.0,1923.0,40.7345689,-111.8506402,429.0171606864275
114,"3519 N Layton Ridge Dr, Layton, UT 84040",2900000.0,6955.0,41.1110938,-111.9045075,416.9662113587347
115,"640 E 885 N, Beaver, UT 84713",389000.0,1900.0,38.2858949,-112.630329,204.73684210526315
116,"416 S Parkside Cir, St George, UT 84770",520000.0,1841.0,37.1012576,-113.6208622,282.45518739815316
117,"2090 N Tuweap Dr UNIT 48, Saint George, UT 84770",648000.0,2048.0,37.1458388,-113.6296514,316.40625
118,"6687 Haven Maple Dr, West Jordan, UT 84081",569900.0,2641.0,40.6134664,-112.0502045,215.78947368421052
119,"8862 S Cheshire Dr, Sandy, UT 84093",945000.0,4332.0,40.5903151,-111.8181583,218.14404432132963
120,"146 E 1470 S, Farmington, UT 84025",550000.0,1955.0,40.9561178,-111.8841837,281.3299232736573
122,"5123 W Summerdale Dr S #2, Herriman, UT 84096",540000.0,2772.0,40.5137186,-112.0128605,194.80519480519482
123,"91 N 100 W, Salina, UT 84654",205000.0,1554.0,38.9587837,-111.8621451,131.91763191763192
124,"11671 E Sunridge Cir LOT 2, Huntsville, UT 84317",330000.0,1024.0,41.3611104,-111.6683398,322.265625
125,"827 E 300 N, Brigham City, UT 84302",373000.0,2250.0,41.517596,-112.0030873,165.77777777777777
126,"3651 N Native Dancer Dr, Cedar City, UT 84721",499999.0,2652.0,37.7438721,-113.0919629,188.53657616892912
127,"9741 S Chesapeake Dr, South Jordan, UT 84095",725000.0,3119.0,40.5743275,-111.9633577,232.44629689002886
128,"1031 N 500 E, Ogden, UT 84404",110000.0,1560.0,41.2762195,-111.9664317,70.51282051282051
129,"2822 W Tampico Dr #97, Saint George, UT 84770",699500.0,2484.0,37.1071804,-113.6433169,281.6022544283414
131,"106 N 400 E, Price, UT 84501",195000.0,2304.0,39.60121460000001,-110.8032546,84.63541666666667
132,"575 S Red Cliffs Rd, Leeds, UT 84746",575000.0,2719.0,37.2259716,-113.3744522,211.47480691430673
133,"4968 W 3175 S, Hurricane, UT 84737",880000.0,2536.0,37.1229662,-113.4009137,347.0031545741325
134,"4330 W 9600 N, Elwood, UT 84337",625000.0,2748.0,41.6838365,-112.1203634,227.4381368267831
135,"2726 E Snow Mountain Dr, Sandy, UT 84093",1270000.0,1582.0,40.5915281,-111.8145423,802.7812895069533
137,"691 E Country Breeze Cir, Draper, UT 84020",900000.0,3065.0,40.5167601,-111.8724854,293.6378466557912
138,"649 E Cedar Hollow Rd, Lehi, UT 84043",735000.0,4802.0,40.4051912,-111.8447168,153.0612244897959
139,"60 S 6140 W, Saint George, UT 84737",450000.0,1878.0,37.1602075,-113.43312,239.61661341853036
141,"3394 S Westcrest Rd #18, West Valley City, UT 84120",120000.0,3176.0,40.698751,-111.9926605,37.78337531486146
142,"225 S Broadway St, Tooele, UT 84074",399900.0,1704.0,40.5262398,-112.2877432,234.68309859154928
143,"5762 W Yorkshire Ct, Highland, UT 84003",1295000.0,2617.0,40.4178016,-111.798663,494.84142147497136
144,"153 S Desert Sage Ln, Washington, UT 84780",449900.0,1670.0,37.1283562,-113.4985147,269.4011976047904
146,"392 Independence Way, North Salt Lake, UT 84054",585000.0,1196.0,40.8349433,-111.8949321,489.1304347826087
147,"833 E Mountain Rd, Ogden, UT 84414",1499000.0,1350.0,41.3290138,-111.9544382,1110.3703703703704
148,"1820 E 2000 S, Apple Valley, UT 84737",750000.0,980.0,37.0388329,-113.06427,765.3061224489796
151,"890 N 200 W, Pleasant Grove, UT 84062",470000.0,2336.0,40.3729672,-111.7438826,201.1986301369863
152,"920 N 90 W, Santaquin, UT 84655",449900.0,2717.0,39.9920608,-111.7877597,165.58704453441297
153,"1195 S Freedom Way, Big Water, UT 84741",399000.0,1472.0,37.0686938,-111.6445986,271.0597826086956
154,"12937 S Canyon Lands Dr #438, Riverton, UT 84065",799999.0,4595.0,40.5162065,-111.9813085,174.10206746463547
155,"1833 N Crest Rd, Saratoga Springs, UT 84045",330000.0,1724.0,40.3964156,-111.9218717,191.41531322505801
156,"1165 W Indian Hills Dr UNIT 220, Saint George, UT 84770",375000.0,2722.0,37.0910267,-113.6092577,137.76634827332845
157,"350 W 800 S UNIT 53, Logan, UT 84321",34999.0,1495.0,41.7167294,-111.8446377,23.410702341137124
158,"452 N 1210 E, Spanish Fork, UT 84660",369000.0,2464.0,40.1156752,-111.6336636,149.7564935064935
159,"2937 E Boulder Top Loop, Heber City, UT 84032",669000.0,4938.0,40.5070087,-111.4133234,135.47995139732686
160,"35 W Broadway S UNIT 403, Salt Lake City, UT 84101",899000.0,2520.0,40.7625093,-111.892406,356.74603174603175
161,"2115 E Ficus Way, Eagle Mountain, UT 84005",495000.0,5670.0,40.3548617,-112.0030873,87.3015873015873
162,"9794 S Big Buck E, Duchesne, UT 84021",235000.0,2476.0,40.1590788,-110.3428433,94.91114701130856
163,"15144 S 2200 W, Bluffdale, UT 84065",900000.0,1936.0,40.4760827,-111.9487559,464.87603305785126
164,"8933 S 250 E, Sandy, UT 84070",549900.0,1948.0,40.5892811,-111.8828257,282.2895277207392
166,"7457 E Stardust Ct #2.15, Heber City, UT 84032",410000.0,3704.0,40.5986269,-111.2932823,110.69114470842332
167,"636 W Kokopelli Loop, Brian Head, UT 84719",674900.0,2250.0,37.707388,-112.859508,299.9555555555556
168,"5225 N Dry Fork Canyon Rd, Vernal, UT 84078",1350000.0,4150.0,40.53022,-109.623709,325.30120481927713
169,"9450 S 1400 E, Sandy, UT 84092",550000.0,1534.0,40.5794823,-111.8511062,358.53976531942635
170,"2189 W White Pine Canyon Rd, Park City, UT 84060",30000000.0,1308.0,40.6768467,-111.552769,22935.77981651376
